month,year,FG3_per_game,FG3A_per_game,FG3_PCT,AST_per_game,PTS_per_game,possessions_per_game_smooth,three_point_introduction,shortened_three_point_line,reverted_three_point_line,defensive_three_second_rule,curry_era,off_season
2007-03-01,2007,6.121076233183857,17.08968609865471,0.3581737076882708,21.45291479820628,98.04708520179372,94.24525857473702,1,0,1,1,0,0
2007-04-01,2007,6.322916666666667,17.12152777777778,0.36929628878523624,22.020833333333332,99.97569444444444,93.4718207766719,1,0,1,1,0,0
2007-05-01,2007,6.7317073170731705,18.378048780487806,0.3662906436629064,19.695121951219512,95.64634146341463,90.82694783197833,1,0,1,1,0,0
2007-06-01,2007,6.3,18.8,0.33510638297872336,16.8,84.8,92.52582409460457,1,0,1,1,0,0
2007-07-01,2007,0.0,0.0,0.0,0.0,0.0,,1,0,1,1,0,1
2007-08-01,2007,0.0,0.0,0.0,0.0,0.0,,1,0,1,1,0,1
2007-09-01,2007,0.0,0.0,0.0,0.0,0.0,,1,0,1,1,0,1
2007-10-01,2007,7.454545454545454,19.09090909090909,0.3904761904761905,20.90909090909091,101.0909090909091,93.6983312950129,1,0,1,1,0,0
2007-11-01,2007,6.365470852017937,18.04708520179372,0.35271462293452605,21.143497757847534,98.50448430493273,96.44094390762552,1,0,1,1,0,0
2007-12-01,2007,6.29954954954955,17.765765765765767,0.3545892494929006,21.81081081081081,98.57432432432432,94.82444377112539,1,0,1,1,0,0
2008-01-01,2008,6.466216216216216,17.91216216216216,0.36099585062240663,21.67117117117117,99.15765765765765,94.45741820354385,1,0,1,1,0,0
2008-02-01,2008,6.651832460732984,18.06020942408377,0.36831424844180316,21.99214659685864,100.46596858638743,94.45213892426459,1,0,1,1,0,0
2008-03-01,2008,6.793617021276596,18.25744680851064,0.3721011537116886,21.785106382978725,102.07446808510639,94.76347311559876,1,0,1,1,0,0
2008-04-01,2008,6.821428571428571,18.865079365079364,0.3615902397980648,22.5,101.22222222222223,92.72742237708091,1,0,1,1,0,0
2008-05-01,2008,5.878048780487805,17.01219512195122,0.34551971326164876,19.524390243902438,93.01219512195122,92.19897793263647,1,0,1,1,0,0
2008-06-01,2008,7.916666666666667,20.416666666666668,0.3877551020408163,21.166666666666668,98.0,92.22916205962059,1,0,1,1,0,0
2008-07-01,2008,0.0,0.0,0.0,0.0,0.0,,1,0,1,1,0,1
2008-08-01,2008,0.0,0.0,0.0,0.0,0.0,,1,0,1,1,0,1
2008-09-01,2008,0.0,0.0,0.0,0.0,0.0,,1,0,1,1,0,1
2008-10-01,2008,5.54,16.64,0.3329326923076923,18.98,96.2,94.1950977384464,1,0,1,1,0,0
2008-11-01,2008,6.303097345132743,17.597345132743364,0.35818456122705555,20.668141592920353,98.1924778761062,94.5391500260281,1,0,1,1,0,0
2008-12-01,2008,6.656108597285068,18.380090497737555,0.36213687838503206,20.970588235294116,99.06108597285068,94.08302426183597,1,0,1,1,0,0
2009-01-01,2009,6.923580786026201,18.40174672489083,0.37624584717607973,21.187772925764193,100.38427947598254,94.31511670141288,1,0,1,1,0,0
2009-02-01,2009,6.93646408839779,18.60220994475138,0.3728838728838729,21.406077348066297,101.95856353591161,94.30582769885534,1,0,1,1,0,0
2009-03-01,2009,6.5,17.706521739130434,0.3670963781461019,20.95,100.48913043478261,94.23886645739776,1,0,1,1,0,0
2009-04-01,2009,6.830508474576271,18.5,0.36921667430142,20.99576271186441,100.80932203389831,93.20394060685982,1,0,1,1,0,0
2009-05-01,2009,7.131578947368421,20.776315789473685,0.34325522482583914,19.17105263157895,98.15789473684211,93.03895509961346,1,0,1,1,0,0
2009-06-01,2009,7.0,20.1,0.34825870646766166,17.4,95.9,93.65691228070176,1,0,1,1,0,0
2009-07-01,2009,0.0,0.0,0.0,0.0,0.0,,1,0,1,1,0,1
2009-08-01,2009,0.0,0.0,0.0,0.0,0.0,,1,0,1,1,0,1
2009-09-01,2009,0.0,0.0,0.0,0.0,0.0,,1,0,1,1,0,1
2009-10-01,2009,6.052631578947368,17.223684210526315,0.35141329258976317,20.263157894736842,98.76315789473684,94.7113162813576,1,0,1,1,0,0
2009-11-01,2009,6.378504672897196,18.25467289719626,0.34941763727121466,20.738317757009344,99.42289719626169,95.38936153022638,1,0,1,1,0,0
2009-12-01,2009,6.027149321266968,17.486425339366516,0.3446758959761935,20.90950226244344,99.92760180995475,95.32085657217908,1,0,1,1,0,0
2010-01-01,2010,6.539130434782609,18.258695652173913,0.3581378735563758,21.069565217391304,100.53260869565217,95.28303588062472,1,0,1,1,0,0
2010-02-01,2010,6.2707182320441985,17.734806629834253,0.35358255451713394,21.505524861878452,100.05801104972376,94.96743034806799,1,0,1,1,0,0
2010-03-01,2010,6.648936170212766,18.529787234042555,0.358824204845562,21.74468085106383,101.12127659574467,94.83011738292896,1,0,1,1,0,0
2010-04-01,2010,7.04954954954955,19.11261261261261,0.3688427999057271,22.085585585585587,103.06306306306307,93.93163820512346,1,0,1,1,0,0
2010-05-01,2010,6.967741935483871,19.806451612903224,0.35179153094462545,20.06451612903226,100.41935483870968,91.84576991738281,1,0,1,1,0,0
2010-06-01,2010,4.857142857142857,16.571428571428573,0.29310344827586204,17.142857142857142,88.85714285714286,92.7084013860608,1,0,1,1,0,0
2010-07-01,2010,0.0,0.0,0.0,0.0,0.0,,1,0,1,1,0,1
2010-08-01,2010,0.0,0.0,0.0,0.0,0.0,,1,0,1,1,0,1
2010-09-01,2010,0.0,0.0,0.0,0.0,0.0,,1,0,1,1,0,1
2010-10-01,2010,6.395348837209302,18.162790697674417,0.35211267605633806,20.302325581395348,99.13953488372093,93.5670971248103,1,0,1,1,0,0
2010-11-01,2010,6.467592592592593,17.953703703703702,0.36023723568849925,21.31712962962963,100.11342592592592,95.62354811776355,1,0,1,1,0,0
2010-12-01,2010,6.643497757847534,18.289237668161434,0.3632462915287484,21.331838565022423,98.09192825112108,94.61144700552897,1,0,1,1,0,0
2011-01-01,2011,6.469565217391304,18.02173913043478,0.3589867310012063,21.702173913043477,99.92173913043479,94.40054246038791,1,0,1,1,0,0
2011-02-01,2011,6.270949720670391,17.93854748603352,0.3495795702273435,21.44413407821229,99.6927374301676,94.3763972318457,1,0,1,1,0,0
2011-03-01,2011,6.600877192982456,18.12061403508772,0.36427447658235507,21.75438596491228,99.88157894736842,94.3932542627897,1,0,1,1,0,0
2011-04-01,2011,6.072072072072072,17.4009009009009,0.3489515920269221,21.792792792792792,99.86486486486487,93.39223400433927,1,0,1,1,0,0
2011-05-01,2011,5.909090909090909,17.59090909090909,0.3359173126614987,18.636363636363637,95.10606060606061,91.34469014469015,1,0,1,1,0,0
2011-06-01,2011,7.6,20.8,0.36538461538461536,18.8,94.6,91.41636002886003,1,0,1,1,0,0
2011-07-01,2011,0.0,0.0,0.0,0.0,0.0,,1,0,1,1,0,1
2011-08-01,2011,0.0,0.0,0.0,0.0,0.0,,1,0,1,1,0,1
